TÍTULO DO ARTIGO,,OBSERVAÇÃO,STATUS
"Amiri, E. – Evaluation of Ceres-Rice, Aquacrop and Oryza2000 Models in Simulation of Rice Yield Response to Different Irrigation and Nitrogen Management Strategies",,focado em simuladores mas fala muito na necessidade de nitrogenio para obter estimativas de crescimento,FICA
"Arif, Chusnul – A Model of Evapotranspirative Irrigation to Manage the Various Water Levels in the System of Rice Intensification (SRI) and Its Effect on Crop and Water Productivities",,focado em system of rice intensification (sri) e fala na dificuldade e alto custo da implementação de tecnologias autonomas de medição por parte dos produtores. pode ser uma comparação boa com o sistema hydra. propõe o próprio modelo baseado em evapotranspiração,FICA
"Cao, Jingjing – Irrigation scheduling of paddy rice using short-term weather forecast data",,"propõe modelo de balanço hídrico com uma função de produtividade x quantidade de água utilizada

se trata de um modelo de irrigação agendada testado na china onde o awd é o método mais comum de manejo da irrigação

provou que o uso correto das chuvas com até 3 dias de previsão reduziu significativamente a necessidade de irrigação sem perdas significativas na produção (<1%)",FICA
"Chen, Mengting – Irrigation forecasting for paddy rice using the ACOP-Rice model and public weather forecasts",,"usou o modelo ACOP-Rice, que é uma variante do modelo AquaCrop para verificar a necessidade de irrigação em um curto espaço de tempo a partir de dados de evapotranspiração e chuva coletados a partir de estações meteorológicas publicas. 

para definir ETo (evapotranspiração), usou o método Hargreaves–Samani que necessita apenas das temperaturas máxima e mínima e parece ter boa acurácia em varias regiões da china

a previsão baseada no modelo não obteve boa acurácia na previsão de ETo em áreas mais úmidas. Apesar das similaridades com o paper anterior, sua conclusão foi negativa em relação a qualidade dos dados de previsão fornecidos pelas estações meteorológicas públicas locais.",TALVEZ
"Chien, Chuan-Pin – Modeling irrigation return flow for the return flow reuse system in paddy fields",,"analisa a possibilidade de reutilização da água fornecida na irrigação, considerando chuva e irrigação por canais onde a água em excesso naturalmente fluiria para outras porções do campo, mais baixas, e poderia ser considerada para reduzir a necessidade de irrigação dos campos. 

esse tipo de técnica talvez seja interessante, como propõe o estudo, em regiões onde a água é escassa para irrigação, Taiwan no exemplo do artigo, mas não necessariamente se aplica na condição estudada aqui no RS onde a água é abundante. 

o paper também sinaliza que existe a necessidade de uma formatação das áreas irrigadas de tal forma a otimizar o fluxo de retorno para reaproveitar a água, o que é altamente improvável de ser realizado em áreas de plantio já definidas.",NÃO
"Ding, Yimin – Modeling spatial and temporal variability of the impact of climate change on rice irrigation water requirements in the middle and lower reaches of the Yangtze River, China",,"apesar de parecer interessante, o modelo proposto considera uma variabilidade temporal muito grande, onde o objetivo principal do trabalho foi de criar modelos para prever a variação da evapotranspiração e temperatura em cenários de mudanças globais, aplicadas em determinadas regiões da china, para as próximas décadas (até 2080).

com isso, julgo que o trabalho não tem significancia imediata para o que estamos propondo, com dados coletados em tempo real. não é do nosso interesse, no momento, previsões para as próximas décadas",NÃO
"Ebadi, Arash – Improved model for studying hydrological process in the field-to-field irrigation system",,"parece bastante similar ao artigo 6 analisado anteriormente. no entanto, não deixa muito claro pela leitura diagonal como poderia ser aplicado para o meu projeto. Levanta a dúvida, no entanto, se tanto este, quanto o trabalho 6 anteriormente negado, poderiam ser utilizados para complementar o projeto em uma variação futura do que estamos propondo nesse momento. 

contudo, mantenho a negativa para ambos os trabalhos, focando em aspectos que acredito serem mais relevantes para o meu simulador do que este trabalho propõe.",NÃO
"Kirthiga, S. M. – Enhancing irrigation water productivity using short-range ensemble weather forecasts at basin scale: A novel framework for regions with high hydro-climatic variability",,"faz uma revisão parcial em vários tipos de metodologias para otimizar o uso da irrigação. oferece uma gama de 800 experimentos simulados com diferentes condições hidro-climáticas e verifica a necessidade de uma ""resolução"" maior de dados climáticos para prever a necesidade de irrigação para lavouras de arroz em detrimento do rendimento da colheita.",FICA
"Klering, Eliana Veleda – Modelagem agrometeorológica do rendimento de arroz irrigado no Rio Grande do Sul",,"propões um modelo simples que considera a temperatura do ar e radiação solar como principais fatores para determinar o rendimento de um safra em várias partes do estado, já que o cultivo, de forma geral, se asemelha.

esté é o primeiro artigo a mencionar ativamente o estado do rio grande do sul e será uma boa fonte de consulta para o desenvolvimento do meu projeto.",FICA
"Klering, Eliana Veleda – Modelo agrometeorológico-espectral para estimativa da produtividade de grãos de arroz irrigado no Rio Grande do Sul",,"com certeza é uma continuação do trabalho anterior da mesma autora. Nessa versão ela aprimora o modelo anterior com dados espectrais usando NDVI para verificar o indice de biomassa nas mesmas regiões e através disso, conseguiu estimar a produtividade dos grãos de arroz com até 1 mês de antecedência",FICA
